index	file	method	dataset	source_experiment	source_run_id	documents_path	run_name
100	100_recursive_semantic_gutenqa_all_from_002_recursive_semantic_all_datasets_run_0001.yaml	recursive_semantic	gutenqa_all	002_recursive_semantic_all_datasets	run_0001	data/processed/gutenqa/all/documents/documents.jsonl	rerun_100_recursive_semantic_gutenqa_all_run_0001
101	101_recursive_semantic_literaryqa_test_from_002_recursive_semantic_all_datasets_run_0002.yaml	recursive_semantic	literaryqa_test	002_recursive_semantic_all_datasets	run_0002	data/processed/literaryqa/test/documents/documents.jsonl	rerun_101_recursive_semantic_literaryqa_test_run_0002
102	102_recursive_semantic_natural_questions_validation_300_docs_from_002_recursive_semantic_all_datasets_run_0003.yaml	recursive_semantic	natural_questions_validation_300_docs	002_recursive_semantic_all_datasets	run_0003	data/processed/natural_questions/validation_300_docs/documents/documents.jsonl	rerun_102_recursive_semantic_natural_questions_validation_300_docs_run_0003
103	103_recursive_semantic_poquad_validation_from_002_recursive_semantic_all_datasets_run_0004.yaml	recursive_semantic	poquad_validation	002_recursive_semantic_all_datasets	run_0004	data/processed/poquad/validation/documents/documents.jsonl	rerun_103_recursive_semantic_poquad_validation_run_0004
104	104_recursive_semantic_qasper_test_from_002_recursive_semantic_all_datasets_run_0005.yaml	recursive_semantic	qasper_test	002_recursive_semantic_all_datasets	run_0005	data/processed/qasper/test/documents/documents.jsonl	rerun_104_recursive_semantic_qasper_test_run_0005
105	105_recursive_semantic_squad_train_from_002_recursive_semantic_all_datasets_run_0006.yaml	recursive_semantic	squad_train	002_recursive_semantic_all_datasets	run_0006	data/processed/squad/train/documents/documents.jsonl	rerun_105_recursive_semantic_squad_train_run_0006
106	106_recursive_semantic_triviaqa_span_annotated_test_artificial_1000_docs_from_002_recursive_semantic_all_datasets_run_0007.yaml	recursive_semantic	triviaqa_span_annotated_test_artificial_1000_docs	002_recursive_semantic_all_datasets	run_0007	data/processed/triviaqa_span_annotated/test_artificial_1000_docs/documents/documents.jsonl	rerun_106_recursive_semantic_triviaqa_span_annotated_test_artificial_1000_docs_run_0007
107	107_graphseg_gutenqa_all_from_005_graphseg_batch1_first2_datasets_run_0001.yaml	graphseg	gutenqa_all	005_graphseg_batch1_first2_datasets	run_0001	data/processed/gutenqa/all/documents/documents.jsonl	rerun_107_graphseg_gutenqa_all_run_0001
108	108_graphseg_literaryqa_test_from_005_graphseg_batch1_first2_datasets_run_0002.yaml	graphseg	literaryqa_test	005_graphseg_batch1_first2_datasets	run_0002	data/processed/literaryqa/test/documents/documents.jsonl	rerun_108_graphseg_literaryqa_test_run_0002
109	109_lumberchunker_api_gutenqa_all_from_007_lumberchunker_api_batch1_first2_datasets_run_0001.yaml	lumberchunker_api	gutenqa_all	007_lumberchunker_api_batch1_first2_datasets	run_0001	data/processed/gutenqa/all/documents/documents.jsonl	rerun_109_lumberchunker_api_gutenqa_all_run_0001
110	110_lumberchunker_api_literaryqa_test_from_007_lumberchunker_api_batch1_first2_datasets_run_0002.yaml	lumberchunker_api	literaryqa_test	007_lumberchunker_api_batch1_first2_datasets	run_0002	data/processed/literaryqa/test/documents/documents.jsonl	rerun_110_lumberchunker_api_literaryqa_test_run_0002
